professor,projeto,resumo
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,Desenvolvimento de tecnologias sustentáveis
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,Pesquisa
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,01/06/2023 - 31/08/2026
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,Centro de Desenvolvimento Tecnológico
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,ALICE GONCALVES OSORIO
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,Engenharias
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de tecnologias sustentáveis,"O desenvolvimento de tecnologias sustentáveis desempenha um papel crucial na abordagem dos desafios ambientais e sociais enfrentados pelo mundo atualmente. Essas tecnologias são projetadas para reduzir o impacto negativo no meio ambiente, promover a eficiência energética, conservar os recursos naturais e melhorar a qualidade de vida das pessoas. Uma das principais razões para a importância do desenvolvimento de tecnologias sustentáveis é a necessidade de mitigar as mudanças climáticas e reduzir as emissões de gases de efeito estufa. Além disso, as tecnologias sustentáveis ​​também desempenham um papel importante na conservação dos recursos naturais. As tecnologias sustentáveis também têm um impacto significativo no desenvolvimento econômico e social. Elas podem gerar empregos verdes e oportunidades de negócios inovadores. À medida que mais empresas adotam práticas sustentáveis, a demanda por profissionais qualificados nessas áreas aumenta.  Nesse contexto, esse projeto visa desenvolver tecnologias que se utilizem de matérias-primas naturais, a fim de reduzir o efeito nocivo do avanço tecnológico na natureza. Pretende-se atuar em diferentes frentes, como o desenvolvimento de inibidores orgânicos de corrosão, desenvolvimento de resinas produzidas com materiais naturais, obtenção e aplicação de celulose e nanocelulose, além do desenvolvimento de compósitos reforçados por fibras naturais."
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,Pesquisa
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,01/07/2021 - 30/06/2025
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,Centro de Desenvolvimento Tecnológico
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,FABIULA DANIELLI BASTOS DE SOUSA
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,Engenharias
FABIULA DANIELLI BASTOS DE SOUSA,Revalorização de resíduos poliméricos através da produção de blendas contendo materiais biodegradáveis,"A busca de novos materiais tem sido uma constante na história da humanidade. Do mesmo modo, soluções ao problema do descarte de resíduos poliméricos, causadores de graves e preocupantes problemas ambientais e de saúde pública, têm sido almejadas há muitos anos. Nesse contexto, o projeto de pesquisa em questão visa contribuir para o avanço e desenvolvimento na área de Ciência e Tecnologia e Engenharia de Materiais, bem como ao avanço da Pesquisa e Desenvolvimento da Química Ambiental e Ecologia, abordando aspectos de fundamental importância nos dias de hoje, o reaproveitamento de resíduos poliméricos e a sustentabilidade.
O presente projeto visa o estudo do processo degradativo de blendas poliméricas compostos de polímero termoplástico/polímero biodegradável (com ênfase no amido termoplástico que é abundante), sendo a fase termoplástica um polímero reciclado, como forma de reciclagem e revalorização de resíduos sólidos."
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Ensino
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,08/06/2023 - 08/05/2025
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Centro de Desenvolvimento Tecnológico
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,CRISTIANE WIENKE RAUBACH
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Engenharias
FABIULA DANIELLI BASTOS DE SOUSA,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,"O ensino superior está passando por transformações pedagógicas significativas nos últimos anos, principalmente ao surgir a pandemia do COVID 19. Junto ao ensino, a economia também sofre alterações que afetam o interesse e as oportunidades dos jovens em cursar uma Universidade Pública, Gratuita e de Qualidade. Desta forma, ações que venham auxiliar o acesso e principalmente a permanência destes jovens nos cursos de graduação são fundamentais. Neste projeto, visamos ações que possam gerar mais oportunidades dos jovens que ingressarem na UFPel possam permanecer e assim se tornarem profissionais qualificados para atuar no mundo do trabalho."
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,Ensino
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,20/04/2020 - 31/12/2020
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,Centro de Letras e Comunicação
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,SILVIA PORTO MEIRELLES LEITE
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,Ciências Sociais Aplicadas
FABIULA DANIELLI BASTOS DE SOUSA,CHECAGEM DE IMAGENS QUE CIRCULAM NO CIBERESPAÇO,"O presente projeto propõe a realização de cursos gratuitos com alunos da Universidade Federal de Pelotas sobre a checagem de imagens que circulam no ciberespaço. Para isso, está organizado em duas etapas: 1) curso de formação com alunos do curso de jornalismo sobre a apuração jornalística de imagens disponíveis no ciberespaço, ministrado pela professora responsável e por um aluno colaborador; 2) curso com alunos de outros cursos da UFPEL sobre a verificação de imagens que circulam no ciberespaço, o qual será ministrado pela professora responsável e por alunos que participaram da primeira etapa do projeto. Na primeira etapa, busca-se refletir sobre fontes jornalísticas no ciberespaço e sobre casos do jornalismo brasileiro que trabalharam com imagens que circulam na internet. Também se trabalha com plataformas gratuitas que disponibilizam o recurso de pesquisa de imagem reversa, explanando suas possibilidades e especificidades. Por fim, investe-se em métodos e técnicas de checagem dessas imagens, buscando instrumentalizar estudantes de jornalismo e jornalistas para a checagem desse tipo de conteúdo. A abordagem apresentada pelo curso pode ser adotada no combate à desinformação através do fact-checking, no processo de checagem em redações e nas atividades de assessoria de imprensa. Na segunda etapa, busca-se investir na instrumentalização de alunos da UFPEL acerca da veracidade de imagens que circulam na internet, bem como na divulgação das principais agências de fact-checking do Brasil.  Também se trabalha com plataformas gratuitas que disponibilizam o recurso de pesquisa de imagem reversa, explanando suas possibilidades e especificidades. Por fim, investe-se em métodos e técnicas de checagem dessas imagens, buscando instrumentalizar estudantes para a verificação de imagens que acessam na Internet. A abordagem apresentada nessa segunda etapa pode ser adotada no combate à desinformação."
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,Extensão
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,01/03/2021 - 01/03/2022
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,Centro de Desenvolvimento Tecnológico
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,RUBENS CAMARATTA
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,Multidisciplinar
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,Meio ambiente / Tecnologia e Produção
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,Desenvolvimento urbano
FABIULA DANIELLI BASTOS DE SOUSA,Desenvolvimento de um veículo de tração humana para substituição dos veículos de tração animal na cidade de Pelotas,"Este projeto surgiu de uma demanda da prefeitura de Pelotas-RS de um projeto economicamente viável para a substituição dos veículos de tração animal (VTA), conhecidos como carroças e utilizados para coleta de materiais reciclados, por veículos de tração humana (VTH). Para isso, o projeto será desenvolvido em parceria entre os cursos de engenharia de materiais da UFPel, o curso de Design do IFSul e a prefeitura de Pelotas. Em uma primeira etapa serão identificadas as principais demandas e exigências construtivas do VTH. Numa segunda etapa, será desenvolvido um desenho técnico do VTH que será apresentado para catadores e prefeitura. Por fim, será construído um protótipo."
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,Pesquisa
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,30/09/2024 - 29/09/2028
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,Centro de Desenvolvimento Tecnológico
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,FABRICIO CELSO
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,Engenharias
FABRICIO CELSO,Desenvolvimento de Filmes e Membranas Poliméricas para aplicações eletroquímicas,"O projeto consiste no desenvolvimento de filmes e membranas poliméricas aplicações eletroquímicas, tais como baterias, células solares, células a combustível e eletrodiálise. Tais filmes e membranas serão compostos de plástico de engenharia funcionalizado e modificadas com compostos orgânicos e/ou inorgânicos, de modo a ajustar suas propriedades conforme a aplicação almejada. A metodologia corrente implica em avaliar diversas composições de filmes e membranas compostas pelo plástico de engenharia selecionado, em diferentes graus de funcionalização, adicionadas de agentes de modificação, orgânicos e inorgânicos, em diversas proporções. Os filmes e membranas assim desenvolvidos serão caracterizadas empregando ensaios correntes em polímeros, como caracterização térmica e espectrosópica, sendo também realizada a caracterização eletroquímica.  O desenvolvimento de novas formulações de filmes e membranas poliméricas para as aplicações propostas consiste em um avanço tecnológico no sentido de substituir materiais atualmente utilizados por novos materiais de maior facilidade de produção e de custo mais baixo, buscando manter o mesmo desempenho para a aplicação proposta."
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,Desenvolvimento de antígenos recombinantes de Clostridium spp.
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,PESQUISA
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,01/06/2019 - 30/05/2023
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,Centro de Desenvolvimento Tecnológico
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,FABRICIO ROCHEDO CONCEICAO
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de antígenos recombinantes de Clostridium spp.,"Bactérias do gênero Clostridium são conhecidas por produzirem diversas toxinas letais, responsáveis por enfermidades denominadas clostridioses, que causam mortes e significativas perdas econômicas no setor pecuário brasileiro e mundial.  A forma mais eficiente de proteção contra as clostridioses é a vacinação com toxóides/bacterinas, que induzem a produção de anticorpos neutralizantes (antitoxinas). Contudo, apesar de eficientes, os toxóides comerciais contra as principais clostridioses de importância veterinária apresentam limitações no que diz respeito à produção industrial: i- Clostridium sp. produz níveis pouco previsíveis de toxinas in vitro; ii- o processo de produção é demorado e laborioso; iii- requer normas rígidas de biossegurança. Consequentemente, existe uma demanda para o desenvolvimento de processos e produtos que poderiam minimizar tais limitações. Neste contexto, o grupo de pesquisa do Laboratório de Imunologia Aplicada (Núcleo de Biotecnologia, CDTec, UFPel) vêm realizando pesquisas para desenvolver vacinas com toxinas recombinantes de Clostridium sp., as quais já foram avaliadas quanto ao título de anticorpos neutralizantes gerados após imunização das espécies modelo. O objetivo deste projeto é produzir antígenos recombinantes de C. perfringens, C. sordelli, C. septicum, C. tetani, C. haemolyticum, C. novyi e C. chauvoei e usá-los no desenvolvimento de vacinas contra as principais clostridioses dos animais de produção."
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida","Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida"
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida",PESQUISA
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida",18/04/2016 - 20/08/2022
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida",Faculdade de Nutrição
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida",ANGELA NUNES MOREIRA
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida",Ciências Agrárias - Ciência e Tecnologia de Alimentos - Microbiologia de Alimentos
FABRICIO ROCHEDO CONCEICAO,"Avaliação do efeito de probióticos sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com ciclofosfamida","A ciclofosfamida (CF), utilizada em quimioterapia, apresenta diversos efeitos tóxicos, entre eles a indução da neutropenia e a alteração de parâmetros de estresse oxidativo. Probióticos, cuja utilização vem sendo relacionada à melhora do sistema imune e de parâmetros de estresse oxidativo, vem sendo estudados visando melhorar esses parâmetros em modelos de neutropenia induzida por quimioterapia. Os probióticos Bacillus cereus var. Toyoi, Saccharomyces boulardii e  Pichia pastoris X-33 vem sendo utilizados em alguns estudos relacionados à resposta imune, apresentando bons resultados. Entretanto, seus efeitos sobre a imunossupressão e o estresse oxidativo induzidos pela quimioterapia ainda não foram avaliados. Assim, o presente estudo tem como objetivo avaliar o efeito dos probióticos B. Toyoi, S. boulardii e P. pastoris X-33 sobre parâmetros imunológicos, bioquímicos e de estresse oxidativo em um modelo animal de neutropenia induzida por quimioterapia com CF. Para isso, para cada um dos três probióticos, 40 camundongos Swiss com 45 dias de idade, procedentes do Biotério Central da UFPel, serão divididos em quatro grupos, contendo 10 animais.  O grupo 1 será o grupo controle; os grupos 3 e 4 serão suplementados diariamente com 108 a 109 UFC.mL-1 de cada probiótico por gavagem; e os grupos 2 e 4 serão imunossuprimidos por CF (uma dose de 150 mg.kg-1 de peso no dia dez e outra de 100 mg.kg-1 no dia 13 do estudo). A suplementação com os probióticos começará dez dias antes da primeira injeção de CF e continuará até o fim do estudo. Os animais serão tratados, anestesiados e sofrerão eutanásia de acordo com os princípios éticos de experimentação animal do Colégio Brasileiro de Experimentação Animal (COBEA). Os animais sofrerão eutanásia no 17º dia de estudo, sangue será coletado no momento da exsanguinação e o fígado, o cérebro e os rins serão removidos assepticamente. A segurança da utilização dos probióticos em imunossuprimidos com CF será avaliada através da análise histopatológica do intestino, fígado e rins dos animais. O efeito dos probióticos sobre o peso e a ingestão alimentar; hemograma completo; os parâmetros bioquímicos aspartato aminotransferase (AST), alanina aminotransferase (ALT), uréia, creatinina, colesterol total, triglicerídeos e glicose; a atividade de enzimas antioxidantes e a peroxidação lipídica no fígado, cérebro e rins; os níveis de IgA intestinal; e os níveis de expressão das citocinas IL-4, IL-10, IL-12, IL-17 e IFN-γ serão avaliados."
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,PESQUISA
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,30/07/2018 - 01/06/2022
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,Centro de Desenvolvimento Tecnológico
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,FABRICIO ROCHEDO CONCEICAO
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos recombinantes de Clostridium spp.,"As clostridioses são enfermidades de curso extremamente rápido e fatal, sendo que a principal medida de controle e profilaxia nos rebanhos é através de vacinação dos animais susceptíveis. As vacinas atualmente disponíveis no mercado são constituídas de toxinas de diversas espécies de Clostridium spp. inativadas com formaldeído (toxoides), assim com, no caso de C. chauvoei, pelas células vegetativas inativadas (bacterinas). Inúmeros trabalhos têm demonstrado a baixa eficiência dessas formulações vacinais multivalentes em induzir resposta imune protetora nos animais, além disso a produção
dessas vacinas é bastante laboriosa. O nosso grupo tem demonstrado em trabalhos publicados em revistas de impacto internacional, que os antígenos produzidos em sistema heterólogo são potenciais substitutos dos toxóides convencionais. Trabalhos realizados por Milach et al. (2012), Salvarani et al. (2013) e Moreira et al. (2016) demonstraram a eficiência dos antígenos recombinantes alfa, beta e épsilon de C. perfringens em induzir títulos de anticorpos neutralizantes (superiores aos recomendados pelo MAPA) em coelhos, suínos, ovinos, bovinos e caprinos, e equinos (dados não publicados). Quanto aos antígenos recombinantes contra o botulismo em ruminantes, Cunha et al. (2012), Moreira Jr. et al. (2016) e Otaka et al. (2017) demonstraram que as BoNTs sorotipos C e D recombinantes são eficientes em induzir títulos de anticorpos neutralizantes em cobaios, bovinos e bubalinos. Diante dos resultados promissores obtidos nos trabalhos supracitados e em contato constante com uma indústria brasileira do ramo de vacinas veterinárias, os próximos passos das nossas pesquisas, visa a simplificação do processo de produção dos antígenos recombinantes que já foram validados (C. perfringens e C. botulinum), através da construção de moléculas quiméricas contendo vários antígenos, assim como, a utilização de células do sistema de expressão Escherichia coli diretamente na imunização de animais. Assim, seguindo a ordem racional de avaliação do potencial dessas novas formulações, o primeiro passo será a avaliação da inocuidade e imunogenicidade dessas formulações em modelos animais: camundongos para antígenos de C. perfringens e C. tetani e cobaios para antígenos de C. botulinum e C. chauvoei (normativa n. 23/2002 e 47/1997
do MAPA)."
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,PESQUISA
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,05/03/2018 - 05/02/2022
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,Centro de Desenvolvimento Tecnológico
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,FABRICIO ROCHEDO CONCEICAO
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva
FABRICIO ROCHEDO CONCEICAO,Avaliação de vacinas contendo antígenos de Clostridium botulinum e Clostridium perfringens,"Bactérias do gênero Clostridium são conhecidas por produzirem diversas toxinas letais, responsáveis por enfermidades denominadas clostridioses, que causam mortes e significativas perdas econômicas no setor pecuário brasileiro e mundial.  A forma mais eficiente de proteção contra as clostridioses é a vacinação com toxóides, que induzem a produção de anticorpos neutralizantes (antitoxinas). Contudo, apesar de eficientes, os toxóides comerciais contra as principais clostridioses de importância veterinária apresentam limitações no que diz respeito à produção industrial: i- Clostridium sp. produz níveis pouco previsíveis de toxinas in vitro; ii- o processo de produção é demorado e laborioso; iii- requer normas rígidas de biossegurança. Consequentemente, existe uma demanda para o desenvolvimento de processos e produtos que poderiam minimizar tais limitações. Neste contexto, o grupo de pesquisa do Laboratório de Imunologia Aplicada (Núcleo de Biotecnologia, CDTec, UFPel) vêm realizando pesquisas para desenvolver vacinas com toxinas recombinantes de Clostridium sp., as quais já foram avaliadas quanto ao título de anticorpos neutralizantes gerados após imunização das  espécies modelo: cobaios (C. botulinum) e coelhos (C. perfringens) conforme preconizado pelo Ministério da Agricultura, Pecuária e Abastecimento (MAPA) através da Instrução Normativa nº 23 e 49, respectivamente. A avaliação da duração da reposta imune induzida por toxóides convencionais mostram que o título de anticorpos neutralizantes é de curta duração, em algumas espécies a resposta imune tem a duração de apenas 3 a 4 meses. Quanto as proteínas recombinantes, estudos tem demonstrado que a concentração de antígeno, via de administração e intervalo entre doses influenciam diretamente na duração da resposta imune. Sendo assim, o presente projeto visa avaliar a imunogenicidade de vacinas recombinantes em experimentos nas espécies alvo (bovinos e ovinos) e acompanhar o título de anticorpos gerados durante 12 meses."
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,PESQUISA
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,07/06/2017 - 02/08/2021
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,Departamento de Nutrição
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,ANGELA NUNES MOREIRA
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,Ciências Biológicas - Imunologia - Imunologia Aplicada
FABRICIO ROCHEDO CONCEICAO,Utilização de probiótico como adjuvante para vacinas recombinantes de sub-unidade e DNA,"As vacinas de DNA, as quais consistem no uso de sequências de material genético de agentes patogênicos que codificam antígenos imunodominantes, têm sido reportadas com a finalidade de induzir proteção imune em numerosos modelos animais para diversas patologias bacterianas, virais ou parasitárias. As vacinas de DNA apresentam diversas vantagens tais como a indução da resposta imune celular, a expressão do antígeno desejado, indução de respostas de memória contra doenças infecciosas, são estáveis, de fácil preparação, apresentam um custo relativamente baixo e são seguras para pacientes imunocomprometidos. Entretanto, apresentam como grandes desvantagens a baixa eficiência de transfecção, que faz com que sejam necessárias repetidas doses de injeções intramusculares e a baixa imunogenicidade quando testadas isoladamente em ensaios clínicos.A proposta do presente projeto é avaliar se o uso do probiótico S. boulardii é capaz de potencializar a resposta imune e o efeito protetor de uma vacina de DNA que utilizará como antígeno o Plasmídeo pCDNA3/invH e a proteína rInvH contra a infecção causada por Salmonella Typhimurium, utilizando camundongos como modelo animal."
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,Efeitos de probióticos na resposta imune de ovinos
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,PESQUISA
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,10/09/2017 - 31/12/2020
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,Centro de Desenvolvimento Tecnológico
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,FABIO PEREIRA LEIVAS LEITE
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,Ciências Biológicas - Imunologia - Imunologia Aplicada
FABRICIO ROCHEDO CONCEICAO,Efeitos de probióticos na resposta imune de ovinos,"Bacillus toyonensis e Saccharomyces boulardii, são microrganismos não patogênicos que possuem propriedades probióticas, amplamente utilizados na suplementação de humanos e animais. Os probióticos modulam a resposta imune do hospedeiro. Os efeitos moduladores dos probióticos na resposta imune vacinal foram estudados através de experimentos com animais suplementados com probióticos e vacinados com antígenos bacterianos e virais. O uso de vacinas é uma alternativa eficiente na profilaxia e controle de doenças infecciosas. O uso de probióticos pode ser considerado uma alternativa promissora para aprimorar a eficácia de vacinas convencionais. A eficácia de uma vacina pode ser avaliada pelos níveis de anticorpos específicos contra o antígeno no soro após a vacinação, que se correlacionam diretamente com a proteção e são descritos como referência para determinar a influência dos probióticos na resposta imune. O objetivo do presente estudo será avaliar o efeito dos probióticos B. toyonensis e S. boulardii na modulação da resposta imune de ovinos vacinados com uma vacina inativada polivalente comercial contra clostridioses e com uma vacina de subunidade trivalente contendo as toxinas recombinantes C e D de Clostridium botulinum e com a toxina recombinante Epsilon de Clostridium perfringens. Serão utilizadas ovelhas prenhes no terço final da gestação. Os probióticos serão administrados em uma suspensão de 30mL de PBS contendo 3x108 UFC de microrganismos.  As vacinações serão realizadas no dia 0 e no dia 21.  Amostras de sangue serão coletadas a partir da punção da veia jugular nos dias 0, 21, 42 e 63 do experimento. Serão coletadas amostras de colostro de todas as ovelhas no momento da parição e durante o primeiro mês amostras de leite serão coletadas a cada 7 dias. Amostras de sangue dos cordeiros serão coletadas antes da ingestão do colostro e 24 horas após o nascimento e uma vez por mês durante os primeiros quatro meses de vida. A resposta imune humoral será avaliada através de ensaio imunoenzimático. A resposta imune celular será avaliada pela técnica de PCR em tempo real (qPCR) através da quantificação da expressão relativa de genes de citocinas de cultivo celular de células mononucleares do sangue periférico dos animais."
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de uma vacina contra BoHV-5 gerada por Yeast Surface Display,Desenvolvimento de uma vacina contra BoHV-5 gerada por Yeast Surface Display
FABRICIO ROCHEDO CONCEICAO,Desenvolvimento de uma vacina contra BoHV-5 gerada por Yeast Surface Display,PESQUISA
